dataset,seed,method,perturbation,split,pearson,pearson_delta,l2,approach,label
norman_from_scfoundation,1,gears,AHR+KLF1,val,0.9782368639044743,0.2087507878692588,7.517105968119774,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,BCL2L11+TGFBR2,val,0.989974523044903,0.2581947128718508,5.007812841069687,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,BPGM+ZBTB1,test,0.9855714704729953,0.6820086067918016,5.845545915131451,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CBL+CNN1,test,0.985811399508569,0.7125594790203247,5.134455463191941,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CBL+PTPN9,val,0.9895379489268116,0.7332791287871805,4.534246975822543,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CBL+PTPN12,val,0.98609234241905,0.636439793974816,5.211812353179416,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CBL+TGFBR2,val,0.9891709864936953,0.5970769330616469,4.74251642346175,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CBL+UBASH3B,test,0.9900394536360497,0.747218482123684,4.437621321522558,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CDKN1B+CDKN1A,test,0.9873362819817085,0.6927667195821886,5.026376571472102,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CDKN1C+CDKN1A,val,0.9867735023937575,0.6910118472749746,5.06927887686513,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CDKN1C+CDKN1B,test,0.9884097872680497,0.7221789146430178,4.795053692915972,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPB+CEBPA,val,0.9553161284049222,0.5507164145741716,8.995259450450968,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPB+MAPK1,val,0.9762616380867666,0.4131691833443532,6.772901260219921,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPB+PTPN12,test,0.9859100533937164,0.7622989019195738,5.628853990470533,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPE+CEBPB,val,0.9756789134740338,0.6265318126075671,6.458787395620687,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPE+CNN1,test,0.9831505860933913,0.6642901885879852,5.82236878434954,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPE+KLF1,val,0.9760866153058135,0.2084982697922,7.793341924894411,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPE+RUNX1T1,val,0.9806393854208321,0.4032036017564264,6.231836980258176,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CEBPE+SPI1,test,0.9730582190187606,0.6714963374101677,6.997836713313877,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,CNN1+MAPK1,val,0.986418665682026,0.5421046738711234,5.32841393003034,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,DUSP9+ETS2,test,0.9873551949824094,0.6027840815244819,5.444234855538194,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,DUSP9+IGDCC3,val,0.9857016983746092,0.7136288546767908,5.361481438164346,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,DUSP9+KLF1,val,0.9783415568339262,0.5086193678516636,6.83147556795137,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,ETS2+IKZF3,val,0.9856182792943472,0.7536393918119344,5.332644492210373,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FEV+CBFA2T3,test,0.9655456957158102,0.5064360208598698,7.626351399859433,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FEV+MAP7D1,test,0.9787714731129094,0.434958529750373,6.612615844351042,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FOSB+OSR2,test,0.9806366320851463,0.2900075747259515,5.994170877762629,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FOSB+UBASH3B,val,0.9880658943096755,0.6214871794865474,5.325836976810838,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FOXA1+FOXF1,test,0.9915534097318273,0.7107914674051669,4.09140921937469,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FOXA1+HOXB9,val,0.9904818589773042,0.767708805810752,4.123437645988361,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FOXF1+FOXL2,test,0.9881479523677608,0.7170547547092468,4.497749443703393,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,FOXL2+MEIS1,val,0.9895812154316206,0.6974600730707737,4.465051210561571,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,IGDCC3+MAPK1,val,0.9854019134046244,0.5090485360656207,5.70708762752102,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,IGDCC3+ZBTB25,val,0.989130266251313,0.75031741077304,4.559407198307159,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,IRF1+SET,test,0.979196937279417,0.4161192700651164,6.050688839377197,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,KLF1+BAK1,test,0.9845797789547579,0.08879534629743085,6.149772377960097,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,KLF1+CLDN6,test,0.9876526523751009,0.6767241064369081,4.976236402928511,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,KLF1+COL2A1,test,0.9785407285474318,0.3247925377987175,6.763186010784621,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,KLF1+FOXA1,val,0.9870770858600864,0.5275680685356824,5.606663176193931,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,LYL1+CEBPB,test,0.9845373721078536,0.6455138673667423,5.642568480935027,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,MAP2K3+IKZF3,val,0.9842455781907712,0.6272529348760966,5.607360100692772,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,MAP2K6+IKZF3,test,0.9854291369155899,0.6636803589245831,5.459711661608651,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,MAPK1+IKZF3,val,0.9856848164593754,0.7249622143491737,5.613451385391173,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,PLK4+STIL,test,0.9880100984934939,0.6382268799697732,5.012615757810914,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,POU3F2+FOXL2,val,0.9896059262400011,0.7783355606385695,4.299887481054107,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,PRDM1+CBFA2T3,test,0.9871448131795733,0.8037387051133401,4.651413920855412,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,PTPN12+ZBTB25,test,0.9877781614223928,0.6791921208656558,4.880491280031337,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,RHOXF2+SET,test,0.983695164796699,0.6306311615465532,5.228263437201533,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,RHOXF2+ZBTB25,test,0.9899420590138981,0.7911587040700321,4.132889726156366,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,SAMD1+TGFBR2,test,0.9910347741761419,0.7244523766199775,4.11225268659853,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,SAMD1+UBASH3B,val,0.9921379679137261,0.809176033121778,3.76830166223951,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,SGK1+S1PR2,test,0.989276180660209,0.7812984909259734,4.576764736106956,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,SNAI1+DLX2,val,0.9843935577644327,0.647816408258524,5.31945170563379,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,TGFBR2+ETS2,val,0.9896018176644866,0.1827230588517903,4.970163688693759,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,TGFBR2+PRTG,val,0.9905404270332081,0.6812814827763807,4.370904709923136,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,UBASH3B+CNN1,val,0.9861078637700185,0.6984216170017937,5.133177250768637,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,UBASH3B+PTPN12,test,0.9885481067832678,0.6691716343404842,4.606154851762919,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,ZBTB10+PTPN12,test,0.9868771712411852,0.7071692062390822,4.837662464060076,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,ZBTB10+SNAI1,val,0.97529224195815,0.6182287805450966,6.406210737438778,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,ZC3HAV1+CEBPA,test,0.9702678964772202,0.5108715118279333,7.091981571876826,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,gears,ZC3HAV1+HOXC13,val,0.9901772817926984,0.5871176704585575,4.226543835330075,deep_learning,GEARS|Other Deep Learning Models
norman_from_scfoundation,1,geneformer,AHR+FEV,test,0.9907387716125169,0.8862070327284126,3.749926463903208,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,AHR+KLF1,val,0.9874104268623483,0.3786455469003733,5.021780046562221,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,BCL2L11+TGFBR2,val,0.998487868483222,0.4379416184214337,1.579631476812988,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,BPGM+ZBTB1,test,0.9980800740573174,0.9351903431209211,2.008512851290531,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CBL+CNN1,test,0.9897979282510487,0.8427441055179564,5.039571354978656,foundation_model,Geneformer*|Foundation Models
